1	0			1
2	0		1
3	0	1
4	0			-1	-2
5	0		-1	-2
6	0	-1	-2
7	0	-2		+1	+2
8	0		1	+4	+4
9	0	1	+4	+4
10	0	4	+4	-1	-2
11	0	4	-1	-6	-8
12	0	-1	-6	-12	-8
13	0	-6	-12	-7	+2
14	0	-12	-7	+8	+12
15	0	-7	+8	-13	-13
16	0	8	-13	-6	+14
17	0	-13	-6	+6	-16
18	0	-6	+6	-3	-11
19	0	6	-3	-5	+12
20	0	-3	-5	+6	-12
21	0	-5	+6	-9	+6
22	0	6	-9	+11	+10
23	0	-9	+11	+4	-12
24	0	11	+4	-3	+18
25	0	4	-3	+7	+15
26	0	-3	+7	+11	-8
27	0	7	+11	-5	+6
28	0	11	-5	-1	-14
29	0	-5	-1	+12	+15
30	0	-1	+12	-17	+10
31	0	12	-17	+11	+2
32	0	-17	+11	-10	+13
33	0	11	-10	-7	-3
34	0	-10	-7	-14	+15
35	0	-7	-14	-12	-17
36	0	-14	-12	-10	+14
0	1	1
1	1	-12	-10	-9	-9
2	1	-7	-8	-5	+4
3	1	16	+2	-8	+2
4	1	12	+10	+9	+7
5	1	-6	-9	-14	+14
6	1	-2	+14	+18	-10
7	1	-7	-14	+7	-11
8	1	-18	-11	-4	+9
9	1	14	+4	+10	-18
10	1	11	-14	-6	-6
11	1	-5	+2	-10	+13
12	1	-15	+18	-2
13	1	-2	+6	-14	+5
14	1	-17	-11	-15	-1
15	1	-12	+15	-15	+11
16	1	-5	-5	+18	-5
17	1	-16	-1	+6	-9
18	1	9	+7	+8	-9
19	1	-8	+12	+12	-17
20	1	-11	+11	-5	-18
21	1	-14	-5	+17	-10
22	1	-10	+11	+9	-2
23	1	-10	+2	+18	+15
24	1	-1	-17	-7	+9
25	1	1	-1	-6	-15
26	1	-7	+13	+1	-11
27	1	-16	+13	+8	-2
28	1	1	-2	-17	-3
29	1	5	-11	+11	+4
30	1	-7	-2	-10	-13
31	1	-6	+13	+1	+7
32	1	-7	+15	-14	+2
33	1	-3	-13	-12	+5
34	1	-17	-9	-18	-18
35	1	-18	-4	+12	-16
36	1	17	-17	+3	-9
0	2	1
1	2	-14	-2	+5	+8
2	2	4	-11	-7	+3
3	2	5	-15	+8	+3
4	2	14	+2	-5	-10
5	2	-13	+15	-3	+18
6	2	-13		+6	-9
7	2	13	-9	-11	+4
8	2	-15	+18	+13	+2
9	2	2	+7		+10
10	2	13	+9	-1	+14
11	2	-11		+9	-10
12	2	-9	-6	+11	-14
13	2	-17	+14	+1	+3
14	2	-15	-18	-7	-18
15	2	-6	+6	+8	-3
16	2	-2	-2	+14	-12
17	2	12	-10	+5	+12
18	2	-1	-7	+6	+2
19	2	14	-10	+7	+18
20	2	-8	+14	+4	+12
21	2	14	-10	-16	+11
22	2	-12	-13	+18	+15
23	2	17	+6	-18	-11
24	2	2	-18	+8	+2
25	2	-16	-4	+14
26	2	7	-17	-18	+18
27	2	1	+6	-9	-17
28	2	12	+3	+7	-4
29	2	-12	-12	-10	-18
30	2	-15	-9	+8	+18
31	2	-14	-15	+11	+1
32	2	-12	+6	-4	-11
33	2	2	-4	+12	+18
34	2	7	-4	+10
35	2	3	-13	-18	+9
36	2	-15	-8	-4	+4
0	3	1
1	3	-11	+12	+3	+1
2	3	3	+18	+12	-7
3	3	15	+13		-8
4	3	11	-12	-3	-3
5	3	-18	-5	-18	+5
6	3	16	-12	+13	-15
7	3	-4	-14	+3	-18
8	3	-4	-8	-13	+1
9	3	-17	-15	-14	+5
10	3	9	+1	+8	+11
11	3	12	-1	+7	-2
12	3	-12	-6	+3	-7
13	3	-12	-8	-17	+16
14	3	7	-1	+14	+17
15	3	-12	+8	-17	+11
16	3	-1	-17	+11	-2
17	3	17	+17	-17	-12
18	3	-2	-6	-11	-8
19	3	-12	+1	-14	+17
20	3	-15	+17	-5	+16
21	3	5	+9	+8	-5
22	3	16	+11	-1	-1
23	3	2	+18	-4	-13
24	3	-12	-6	+2	+10
25	3	11	+8	-15	+11
26	3	3	-3	+6	+15
27	3	8	+7	+6	+16
28	3	13	+4	+11	+6
29	3	12	-13	-13
30	3	-14	-1	-18	-9
31	3	8	-18	+14	-1
32	3	-1	+5	-9	-12
33	3	-10	-10	+7	+9
34	3	-17	-17	-15	-18
35	3	-15	-6	+18	+14
36	3	12		+11	+15
